B01003_001E,NAME,GEOID,state,place
122,"Adak city, Alaska",16000US0200065,02,00065
84,"Akhiok city, Alaska",16000US0200650,02,00650
562,"Akiachak CDP, Alaska",16000US0200760,02,00760
399,"Akiak city, Alaska",16000US0200870,02,00870
899,"Akutan city, Alaska",16000US0201090,02,01090
777,"Alakanuk city, Alaska",16000US0201200,02,01200
1,"Alatna CDP, Alaska",16000US0201305,02,01305
51,"Alcan Border CDP, Alaska",16000US0201390,02,01390
199,"Aleknagik city, Alaska",16000US0201420,02,01420
59,"Aleneva CDP, Alaska",16000US0201560,02,01560
77,"Allakaket city, Alaska",16000US0201860,02,01860
280,"Ambler city, Alaska",16000US0201970,02,01970
247,"Anaktuvuk Pass city, Alaska",16000US0202080,02,02080
299107,"Anchorage municipality, Alaska",16000US0203000,02,03000
1951,"Anchor Point CDP, Alaska",16000US0203110,02,03110
201,"Anderson city, Alaska",16000US0203220,02,03220
382,"Angoon city, Alaska",16000US0203440,02,03440
525,"Aniak city, Alaska",16000US0203550,02,03550
87,"Anvik city, Alaska",16000US0203880,02,03880
138,"Arctic Village CDP, Alaska",16000US0203990,02,03990
66,"Atka city, Alaska",16000US0204210,02,04210
258,"Atmautluak CDP, Alaska",16000US0204430,02,04430
159,"Atqasuk city, Alaska",16000US0204500,02,04500
16,"Attu Station CDP, Alaska",16000US0204670,02,04670
21197,"Badger CDP, Alaska",16000US0205000,02,05000
4293,"Barrow city, Alaska",16000US0205200,02,05200
1824,"Bear Creek CDP, Alaska",16000US0205585,02,05585
60,"Beaver CDP, Alaska",16000US0205750,02,05750
6,"Beluga CDP, Alaska",16000US0206245,02,06245
6370,"Bethel city, Alaska",16000US0206520,02,06520
22,"Bettles city, Alaska",16000US0206630,02,06630
539,"Big Delta CDP, Alaska",16000US0206850,02,06850
3815,"Big Lake CDP, Alaska",16000US0207070,02,07070
1,"Birch Creek CDP, Alaska",16000US0207620,02,07620
442,"Brevig Mission city, Alaska",16000US0208740,02,08740
596,"Buckland city, Alaska",16000US0209600,02,09600
827,"Buffalo Soapstone CDP, Alaska",16000US0209657,02,09657
3854,"Butte CDP, Alaska",16000US0209710,02,09710
209,"Cantwell CDP, Alaska",16000US0210150,02,10150
58,"Central CDP, Alaska",16000US0211690,02,11690
101,"Chalkyitsik CDP, Alaska",16000US0211800,02,11800
23,"Chase CDP, Alaska",16000US0212350,02,12350
516,"Chefornak city, Alaska",16000US0212680,02,12680
5473,"Chena Ridge CDP, Alaska",16000US0212920,02,12920
66,"Chenega CDP, Alaska",16000US0212970,02,12970
1082,"Chevak city, Alaska",16000US0213230,02,13230
284,"Chickaloon CDP, Alaska",16000US0213340,02,13340
0,"Chicken CDP, Alaska",16000US0213450,02,13450
70,"Chignik city, Alaska",16000US0213550,02,13550
73,"Chignik Lagoon CDP, Alaska",16000US0213670,02,13670
70,"Chignik Lake CDP, Alaska",16000US0213780,02,13780
23,"Chiniak CDP, Alaska",16000US0213860,02,13860
0,"Chisana CDP, Alaska",16000US0213890,02,13890
59,"Chistochina CDP, Alaska",16000US0214000,02,14000
80,"Chitina CDP, Alaska",16000US0214110,02,14110
116,"Chuathbaluk city, Alaska",16000US0214330,02,14330
118,"Circle CDP, Alaska",16000US0214880,02,14880
182,"Clam Gulch CDP, Alaska",16000US0215320,02,15320
56,"Clark's Point city, Alaska",16000US0215430,02,15430
150,"Coffman Cove city, Alaska",16000US0216360,02,16360
1577,"Cohoe CDP, Alaska",16000US0216420,02,16420
46,"Cold Bay city, Alaska",16000US0216530,02,16530
10,"Coldfoot CDP, Alaska",16000US0216630,02,16630
14675,"College CDP, Alaska",16000US0216750,02,16750
457,"Cooper Landing CDP, Alaska",16000US0217190,02,17190
405,"Copper Center CDP, Alaska",16000US0217300,02,17300
2621,"Cordova city, Alaska",16000US0217410,02,17410
105,"Covenant Life CDP, Alaska",16000US0217670,02,17670
1231,"Craig city, Alaska",16000US0217740,02,17740
98,"Crooked Creek CDP, Alaska",16000US0217850,02,17850
132,"Crown Point CDP, Alaska",16000US0217960,02,17960
144,"Deering city, Alaska",16000US0218510,02,18510
1045,"Delta Junction city, Alaska",16000US0218620,02,18620
2311,"Deltana CDP, Alaska",16000US0218675,02,18675
1140,"Diamond Ridge CDP, Alaska",16000US0218925,02,18925
2307,"Dillingham city, Alaska",16000US0218950,02,18950
43,"Diomede city, Alaska",16000US0219060,02,19060
0,"Dot Lake CDP, Alaska",16000US0219720,02,19720
54,"Dot Lake Village CDP, Alaska",16000US0219750,02,19750
84,"Dry Creek CDP, Alaska",16000US0220020,02,20020
89,"Eagle city, Alaska",16000US0220380,02,20380
17,"Eagle Village CDP, Alaska",16000US0220600,02,20600
0,"Edna Bay city, Alaska",16000US0220970,02,20970
455,"Eek city, Alaska",16000US0221040,02,21040
68,"Egegik city, Alaska",16000US0221150,02,21150
2630,"Eielson AFB CDP, Alaska",16000US0221370,02,21370
78,"Ekwok city, Alaska",16000US0221810,02,21810
24,"Elfin Cove CDP, Alaska",16000US0222140,02,22140
