B01003_001E,NAME,GEOID,zip code tabulation area
17982,ZCTA5 00601,86000US00601,00601
40260,ZCTA5 00602,86000US00602,00602
52408,ZCTA5 00603,86000US00603,00603
6331,ZCTA5 00606,86000US00606,00606
28328,ZCTA5 00610,86000US00610,00610
64816,ZCTA5 00612,86000US00612,00612
10707,ZCTA5 00616,86000US00616,00616
24793,ZCTA5 00617,86000US00617,00617
7425,ZCTA5 00622,86000US00622,00622
42955,ZCTA5 00623,86000US00623,00623
24628,ZCTA5 00624,86000US00624,00624
33949,ZCTA5 00627,86000US00627,00627
1664,ZCTA5 00631,86000US00631,00631
24398,ZCTA5 00637,86000US00637,00637
18084,ZCTA5 00638,86000US00638,00638
29516,ZCTA5 00641,86000US00641,00641
38396,ZCTA5 00646,86000US00646,00646
5740,ZCTA5 00647,86000US00647,00647
14738,ZCTA5 00650,86000US00650,00650
3800,ZCTA5 00652,86000US00652,00652
12514,ZCTA5 00653,86000US00653,00653
20414,ZCTA5 00656,86000US00656,00656
41578,ZCTA5 00659,86000US00659,00659
16845,ZCTA5 00660,86000US00660,00660
42499,ZCTA5 00662,86000US00662,00662
15974,ZCTA5 00664,86000US00664,00664
24968,ZCTA5 00667,86000US00667,00667
27703,ZCTA5 00669,86000US00669,00669
9333,ZCTA5 00670,86000US00670,00670
42358,ZCTA5 00674,86000US00674,00674
38999,ZCTA5 00676,86000US00676,00676
14855,ZCTA5 00677,86000US00677,00677
26815,ZCTA5 00678,86000US00678,00678
52431,ZCTA5 00680,86000US00680,00680
32431,ZCTA5 00682,86000US00682,00682
32569,ZCTA5 00683,86000US00683,00683
40800,ZCTA5 00685,86000US00685,00685
32294,ZCTA5 00687,86000US00687,00687
12870,ZCTA5 00688,86000US00688,00688
5565,ZCTA5 00690,86000US00690,00690
36777,ZCTA5 00692,86000US00692,00692
58615,ZCTA5 00693,86000US00693,00693
77,ZCTA5 00694,86000US00694,00694
39395,ZCTA5 00698,86000US00698,00698
28165,ZCTA5 00703,86000US00703,00703
8007,ZCTA5 00704,86000US00704,00704
24717,ZCTA5 00705,86000US00705,00705
11701,ZCTA5 00707,86000US00707,00707
18988,ZCTA5 00714,86000US00714,00714
3586,ZCTA5 00715,86000US00715,00715
30876,ZCTA5 00716,86000US00716,00716
17704,ZCTA5 00717,86000US00717,00717
26547,ZCTA5 00718,86000US00718,00718
30588,ZCTA5 00719,86000US00719,00719
22676,ZCTA5 00720,86000US00720,00720
18441,ZCTA5 00723,86000US00723,00723
86276,ZCTA5 00725,86000US00725,00725
56503,ZCTA5 00727,86000US00727,00727
41337,ZCTA5 00728,86000US00728,00728
53439,ZCTA5 00729,86000US00729,00729
34965,ZCTA5 00730,86000US00730,00730
14382,ZCTA5 00731,86000US00731,00731
13063,ZCTA5 00735,86000US00735,00735
50335,ZCTA5 00736,86000US00736,00736
