B01003_001E,NAME,GEOID,state
733375,Alaska,04000US02,02
4830620,Alabama,04000US01,01
2958208,Arkansas,04000US05,05
6641928,Arizona,04000US04,04
38421464,California,04000US06,06
5278906,Colorado,04000US08,08
3593222,Connecticut,04000US09,09
647484,District of Columbia,04000US11,11
926454,Delaware,04000US10,10
19645772,Florida,04000US12,12
10006693,Georgia,04000US13,13
1406299,Hawaii,04000US15,15
3093526,Iowa,04000US19,19
1616547,Idaho,04000US16,16
12873761,Illinois,04000US17,17
6568645,Indiana,04000US18,18
2892987,Kansas,04000US20,20
4397353,Kentucky,04000US21,21
4625253,Louisiana,04000US22,22
6705586,Massachusetts,04000US25,25
5930538,Maryland,04000US24,24
1329100,Maine,04000US23,23
9900571,Michigan,04000US26,26
5419171,Minnesota,04000US27,27
6045448,Missouri,04000US29,29
2988081,Mississippi,04000US28,28
1014699,Montana,04000US30,30
9845333,North Carolina,04000US37,37
721640,North Dakota,04000US38,38
1869365,Nebraska,04000US31,31
1324201,New Hampshire,04000US33,33
8904413,New Jersey,04000US34,34
2084117,New Mexico,04000US35,35
2798636,Nevada,04000US32,32
19673174,New York,04000US36,36
11575977,Ohio,04000US39,39
3849733,Oklahoma,04000US40,40
3939233,Oregon,04000US41,41
12779559,Pennsylvania,04000US42,42
3583073,Puerto Rico,04000US72,72
1053661,Rhode Island,04000US44,44
4777576,South Carolina,04000US45,45
843190,South Dakota,04000US46,46
6499615,Tennessee,04000US47,47
26538614,Texas,04000US48,48
2903379,Utah,04000US49,49
8256630,Virginia,04000US51,51
626604,Vermont,04000US50,50
6985464,Washington,04000US53,53
5742117,Wisconsin,04000US55,55
1851420,West Virginia,04000US54,54
579679,Wyoming,04000US56,56
