B01003_001E,NAME,GEOID,american indian area/alaska native area/hawaiian home land
58084,"Sac and Fox OTSA, OK",25000US5820,5820
23339,"Seminole OTSA, OK",25000US5830,5830
4611,"Seneca-Cayuga OTSA, OK",25000US5835,5835
4047,"Tonkawa OTSA, OK",25000US5860,5860
1728,"Wyandotte OTSA, OK",25000US5890,5890
2121,"Creek/Seminole joint-use OTSA, OK",25000US5915,5915
26825,"Kaw/Ponca joint-use OTSA, OK",25000US5950,5950
11469,"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA, OK",25000US5955,5955
4200,"Miami/Peoria joint-use OTSA, OK",25000US5970,5970
103,"Akhiok ANVSA, AK",25000US6015,6015
590,"Akiachak ANVSA, AK",25000US6020,6020
407,"Akiak ANVSA, AK",25000US6025,6025
874,"Akutan ANVSA, AK",25000US6030,6030
733,"Alakanuk ANVSA, AK",25000US6035,6035
2,"Alatna ANVSA, AK",25000US6040,6040
231,"Aleknagik ANVSA, AK",25000US6045,6045
446,"Algaaciq ANVSA, AK",25000US6065,6065
143,"Allakaket ANVSA, AK",25000US6070,6070
329,"Ambler ANVSA, AK",25000US6075,6075
233,"Anaktuvuk Pass ANVSA, AK",25000US6080,6080
105,"Andreafsky ANVSA, AK",25000US6095,6095
416,"Angoon ANVSA, AK",25000US6100,6100
527,"Aniak ANVSA, AK",25000US6105,6105
86,"Anvik ANVSA, AK",25000US6125,6125
118,"Arctic Village ANVSA, AK",25000US6140,6140
66,"Atka ANVSA, AK",25000US6150,6150
288,"Atmautluak ANVSA, AK",25000US6160,6160
219,"Atqasuk ANVSA, AK",25000US6165,6165
4296,"Barrow ANVSA, AK",25000US6175,6175
86,"Beaver ANVSA, AK",25000US6190,6190
0,"Belkofski ANVSA, AK",25000US6195,6195
6295,"Bethel ANVSA, AK",25000US6205,6205
0,"Bill Moore's ANVSA, AK",25000US6225,6225
11,"Birch Creek ANVSA, AK",25000US6235,6235
439,"Brevig Mission ANVSA, AK",25000US6240,6240
582,"Buckland ANVSA, AK",25000US6250,6250
197,"Cantwell ANVSA, AK",25000US6255,6255
0,"Canyon Village ANVSA, AK",25000US6257,6257
85,"Chalkyitsik ANVSA, AK",25000US6265,6265
474,"Chefornak ANVSA, AK",25000US6275,6275
72,"Chenega ANVSA, AK",25000US6280,6280
986,"Chevak ANVSA, AK",25000US6285,6285
24527,"Chickaloon ANVSA, AK",25000US6290,6290
86,"Chignik ANVSA, AK",25000US6295,6295
60,"Chignik Lagoon ANVSA, AK",25000US6300,6300
58,"Chignik Lake ANVSA, AK",25000US6305,6305
67,"Chilkat ANVSA, AK",25000US6310,6310
386,"Chilkoot ANVSA, AK",25000US6315,6315
75,"Chistochina ANVSA, AK",25000US6325,6325
74,"Chitina ANVSA, AK",25000US6330,6330
104,"Chuathbaluk ANVSA, AK",25000US6335,6335
0,"Chulloonawick ANVSA, AK",25000US6340,6340
103,"Circle ANVSA, AK",25000US6350,6350
75,"Clarks Point ANVSA, AK",25000US6360,6360
548,"Copper Center ANVSA, AK",25000US6365,6365
0,"Council ANVSA, AK",25000US6380,6380
1751,"Craig ANVSA, AK",25000US6385,6385
104,"Crooked Creek ANVSA, AK",25000US6390,6390
128,"Deering ANVSA, AK",25000US6400,6400
2281,"Dillingham ANVSA, AK",25000US6405,6405
38,"Dot Lake ANVSA, AK",25000US6415,6415
5843,"Douglas ANVSA, AK",25000US6420,6420
11,"Eagle ANVSA, AK",25000US6430,6430
425,"Eek ANVSA, AK",25000US6440,6440
74,"Egegik ANVSA, AK",25000US6445,6445
83,"Eklutna ANVSA, AK",25000US6450,6450
0,"Ekuk ANVSA, AK",25000US6455,6455
100,"Ekwok ANVSA, AK",25000US6460,6460
319,"Elim ANVSA, AK",25000US6470,6470
819,"Emmonak ANVSA, AK",25000US6480,6480
32,"Evansville ANVSA, AK",25000US6490,6490
128,"Eyak ANVSA, AK",25000US6495,6495
31,"False Pass ANVSA, AK",25000US6500,6500
514,"Fort Yukon ANVSA, AK",25000US6515,6515
84,"Gakona ANVSA, AK",25000US6520,6520
539,"Galena ANVSA, AK",25000US6525,6525
702,"Gambell ANVSA, AK",25000US6530,6530
0,"Georgetown ANVSA, AK",25000US6535,6535
122,"Golovin ANVSA, AK",25000US6540,6540
237,"Goodnews Bay ANVSA, AK",25000US6545,6545
151,"Grayling ANVSA, AK",25000US6550,6550
123,"Gulkana ANVSA, AK",25000US6560,6560
0,"Hamilton ANVSA, AK",25000US6570,6570
0,"Healy Lake ANVSA, AK",25000US6575,6575
209,"Holy Cross ANVSA, AK",25000US6585,6585
772,"Hoonah ANVSA, AK",25000US6590,6590
1259,"Hooper Bay ANVSA, AK",25000US6595,6595
63,"Hughes ANVSA, AK",25000US6605,6605
379,"Huslia ANVSA, AK",25000US6610,6610
356,"Hydaburg ANVSA, AK",25000US6615,6615
37,"Igiugig ANVSA, AK",25000US6620,6620
71,"Iliamna ANVSA, AK",25000US6625,6625
65,"Inalik ANVSA, AK",25000US6630,6630
0,"Ivanof Bay ANVSA, AK",25000US6650,6650
592,"Kake ANVSA, AK",25000US6670,6670
176,"Kaktovik ANVSA, AK",25000US6680,6680
257,"Kalskag ANVSA, AK",25000US6685,6685
200,"Kaltag ANVSA, AK",25000US6690,6690
30,"Karluk ANVSA, AK",25000US6700,6700
67,"Kasaan ANVSA, AK",25000US6705,6705
537,"Kasigluk ANVSA, AK",25000US6710,6710
33394,"Kenaitze ANVSA, AK",25000US6720,6720
13070,"Ketchikan ANVSA, AK",25000US6725,6725
371,"Kiana ANVSA, AK",25000US6730,6730
900,"King Cove ANVSA, AK",25000US6735,6735
167,"King Salmon ANVSA, AK",25000US6740,6740
700,"Kipnuk ANVSA, AK",25000US6750,6750
532,"Kivalina ANVSA, AK",25000US6755,6755
589,"Klawock ANVSA, AK",25000US6765,6765
69114,"Knik ANVSA, AK",25000US6785,6785
159,"Kobuk ANVSA, AK",25000US6790,6790
0,"Kodiak ANVSA, AK",25000US6795,6795
123,"Kokhanok ANVSA, AK",25000US6800,6800
368,"Kongiganak ANVSA, AK",25000US6810,6810
636,"Kotlik ANVSA, AK",25000US6815,6815
3273,"Kotzebue ANVSA, AK",25000US6820,6820
265,"Koyuk ANVSA, AK",25000US6825,6825
89,"Koyukuk ANVSA, AK",25000US6830,6830
763,"Kwethluk ANVSA, AK",25000US6835,6835
325,"Kwigillingok ANVSA, AK",25000US6840,6840
616,"Kwinhagak ANVSA, AK",25000US6845,6845
16,"Lake Minchumina ANVSA, AK",25000US6850,6850
52,"Larsen Bay ANVSA, AK",25000US6855,6855
0,"Lesnoi ANVSA, AK",25000US6860,6860
131,"Levelock ANVSA, AK",25000US6865,6865
22,"Lime Village ANVSA, AK",25000US6875,6875
340,"Lower Kalskag ANVSA, AK",25000US6890,6890
344,"McGrath ANVSA, AK",25000US6895,6895
80,"Manley Hot Springs ANVSA, AK",25000US6900,6900
673,"Manokotak ANVSA, AK",25000US6905,6905
320,"Marshall ANVSA, AK",25000US6910,6910
0,"Mary's Igloo ANVSA, AK",25000US6915,6915
177,"Mekoryuk ANVSA, AK",25000US6935,6935
223,"Mentasta Lake ANVSA, AK",25000US6945,6945
252,"Minto ANVSA, AK",25000US6965,6965
781,"Mountain Village ANVSA, AK",25000US6975,6975
600,"Naknek ANVSA, AK",25000US6990,6990
212,"Nanwalek ANVSA, AK",25000US6995,6995
0,"Napaimute ANVSA, AK",25000US7005,7005
365,"Napakiak ANVSA, AK",25000US7010,7010
430,"Napaskiak ANVSA, AK",25000US7020,7020
39,"Nelson Lagoon ANVSA, AK",25000US7025,7025
438,"Nenana ANVSA, AK",25000US7030,7030
175,"Newhalen ANVSA, AK",25000US7035,7035
164,"New Koliganek ANVSA, AK",25000US7040,7040
574,"New Stuyahok ANVSA, AK",25000US7050,7050
384,"Newtok ANVSA, AK",25000US7055,7055
263,"Nightmute ANVSA, AK",25000US7065,7065
75,"Nikolai ANVSA, AK",25000US7070,7070
34,"Nikolski ANVSA, AK",25000US7075,7075
14789,"Ninilchik ANVSA, AK",25000US7080,7080
452,"Noatak ANVSA, AK",25000US7085,7085
3748,"Nome ANVSA, AK",25000US7095,7095
214,"Nondalton ANVSA, AK",25000US7100,7100
598,"Noorvik ANVSA, AK",25000US7110,7110
305,"Northway ANVSA, AK",25000US7115,7115
371,"Nuiqsut ANVSA, AK",25000US7125,7125
272,"Nulato ANVSA, AK",25000US7130,7130
132,"Nunam Iqua ANVSA, AK",25000US7133,7133
459,"Nunapitchuk ANVSA, AK",25000US7135,7135
0,"Ohogamiut ANVSA, AK",25000US7145,7145
268,"Old Harbor ANVSA, AK",25000US7150,7150
29,"Oscarville ANVSA, AK",25000US7175,7175
278,"Ouzinkie ANVSA, AK",25000US7180,7180
0,"Paimiut ANVSA, AK",25000US7185,7185
22,"Pedro Bay ANVSA, AK",25000US7205,7205
116,"Perryville ANVSA, AK",25000US7215,7215
2410,"Petersburg ANVSA, AK",25000US7220,7220
47,"Pilot Point ANVSA, AK",25000US7225,7225
567,"Pilot Station ANVSA, AK",25000US7230,7230
136,"Pitkas Point ANVSA, AK",25000US7235,7235
42,"Platinum ANVSA, AK",25000US7245,7245
628,"Point Hope ANVSA, AK",25000US7250,7250
246,"Point Lay ANVSA, AK",25000US7255,7255
0,"Portage Creek ANVSA, AK",25000US7260,7260
147,"Port Alsworth ANVSA, AK",25000US7263,7263
166,"Port Graham ANVSA, AK",25000US7265,7265
84,"Port Heiden ANVSA, AK",25000US7270,7270
230,"Port Lions ANVSA, AK",25000US7275,7275
15,"Rampart ANVSA, AK",25000US7300,7300
32,"Red Devil ANVSA, AK",25000US7305,7305
208,"Ruby ANVSA, AK",25000US7310,7310
404,"Russian Mission ANVSA, AK",25000US7315,7315
33,"St. George ANVSA, AK",25000US7340,7340
406,"St. Michael ANVSA, AK",25000US7375,7375
612,"St. Paul ANVSA, AK",25000US7390,7390
1049,"Salamatof ANVSA, AK",25000US7400,7400
1371,"Sand Point ANVSA, AK",25000US7410,7410
872,"Savoonga ANVSA, AK",25000US7415,7415
470,"Saxman ANVSA, AK",25000US7420,7420
447,"Scammon Bay ANVSA, AK",25000US7425,7425
754,"Selawik ANVSA, AK",25000US7430,7430
500,"Seldovia ANVSA, AK",25000US7435,7435
58,"Shageluk ANVSA, AK",25000US7440,7440
212,"Shaktoolik ANVSA, AK",25000US7450,7450
629,"Shishmaref ANVSA, AK",25000US7465,7465
308,"Shungnak ANVSA, AK",25000US7470,7470
4762,"Sitka ANVSA, AK",25000US7475,7475
996,"Skagway ANVSA, AK",25000US7485,7485
98,"Sleetmute ANVSA, AK",25000US7495,7495
0,"Solomon ANVSA, AK",25000US7500,7500
60,"South Naknek ANVSA, AK",25000US7505,7505
538,"Stebbins ANVSA, AK",25000US7510,7510
69,"Stevens Village ANVSA, AK",25000US7520,7520
61,"Stony River ANVSA, AK",25000US7525,7525
56,"Takotna ANVSA, AK",25000US7530,7530
176,"Tanacross ANVSA, AK",25000US7535,7535
248,"Tanana ANVSA, AK",25000US7540,7540
69,"Tatitlek ANVSA, AK",25000US7555,7555
343,"Tazlina ANVSA, AK",25000US7560,7560
4,"Telida ANVSA, AK",25000US7565,7565
184,"Teller ANVSA, AK",25000US7570,7570
123,"Tetlin ANVSA, AK",25000US7580,7580
765,"Togiak ANVSA, AK",25000US7605,7605
626,"Toksook Bay ANVSA, AK",25000US7625,7625
421,"Tuluksak ANVSA, AK",25000US7630,7630
437,"Tuntutuliak ANVSA, AK",25000US7640,7640
297,"Tununak ANVSA, AK",25000US7645,7645
93,"Twin Hills ANVSA, AK",25000US7650,7650
231,"Tyonek ANVSA, AK",25000US7655,7655
13,"Ugashik ANVSA, AK",25000US7665,7665
716,"Unalakleet ANVSA, AK",25000US7690,7690
4536,"Unalaska ANVSA, AK",25000US7695,7695
155,"Venetie ANVSA, AK",25000US7725,7725
482,"Wainwright ANVSA, AK",25000US7735,7735
165,"Wales ANVSA, AK",25000US7740,7740
148,"White Mountain ANVSA, AK",25000US7745,7745
1281,"Wrangell ANVSA, AK",25000US7755,7755
587,"Yakutat ANVSA, AK",25000US7765,7765
2842,"Cayuga Nation TDSA, NY",25000US8100,8100
28,"Ione Band of Miwok TDSA, CA",25000US8300,8300
3535,"Mechoopda TDSA, CA",25000US8450,8450
36757,"Samish TDSA, WA",25000US8750,8750
1,"Golden Hill Paugussett (state) Reservation, CT",25000US9100,9100
2,"Hassanamisco (state) Reservation, MA",25000US9150,9150
28,"Mattaponi (state) Reservation, VA",25000US9230,9230
140,"MOWA Choctaw (state) Reservation, AL",25000US9240,9240
78,"Pamunkey (state) Reservation, VA",25000US9260,9260
18,"Paucatuck Eastern Pequot (state) Reservation, CT",25000US9280,9280
488,"Poospatuck (state) Reservation, NY",25000US9300,9300
8,"Schaghticoke (state) Reservation, CT",25000US9350,9350
244,"Shinnecock (state) Reservation, NY",25000US9370,9370
13,"Tama (state) Reservation, GA",25000US9400,9400
2760,"Adais Caddo SDTSA, LA",25000US9510,9510
6786,"Apache Choctaw SDTSA, LA",25000US9515,9515
1140,"Beaver Creek SDTSA, SC",25000US9525,9525
85051,"Cher-O-Creek SDTSA, AL",25000US9550,9550
13911,"Cherokee Tribe of Northeast Alabama SDTSA, AL",25000US9560,9560
3652,"Chickahominy SDTSA, VA",25000US9580,9580
411,"Clifton Choctaw SDTSA, LA",25000US9630,9630
61233,"Coharie SDTSA, NC",25000US9635,9635
193,"Eastern Chickahominy SDTSA, VA",25000US9675,9675
54637,"Echota Cherokee SDTSA, AL",25000US9680,9680
31375,"Four Winds Cherokee SDTSA, LA",25000US9720,9720
8554,"Haliwa-Saponi SDTSA, NC",25000US9745,9745
539,"Lenape Indian Tribe of Delaware SDTSA, DE",25000US9800,9800
496165,"Lumbee SDTSA, NC",25000US9815,9815
22539,"MaChis Lower Creek SDTSA, AL",25000US9820,9820
7863,"Meherrin SDTSA, NC",25000US9825,9825
7464,"Nanticoke Indian Tribe SDTSA, DE",25000US9830,9830
5828,"Nanticoke Lenni Lenape SDTSA, NJ",25000US9835,9835
8406,"Occaneechi-Saponi SDTSA, NC",25000US9838,9838
2482,"Pee Dee SDTSA, SC",25000US9844,9844
1065,"Ramapough SDTSA, NJ",25000US9850,9850
2553,"Sappony SDTSA, NC",25000US9865,9865
567,"Santee SDTSA, SC",25000US9875,9875
5698,"Star Muskogee Creek SDTSA, AL",25000US9880,9880
6162,"United Cherokee Ani-Yun-Wiya Nation SDTSA, AL",25000US9950,9950
203140,"United Houma Nation SDTSA, LA",25000US9960,9960
1406,"Upper South Carolina Pee Dee SDTSA, SC",25000US9963,9963
36,"Waccamaw SDTSA, SC",25000US9967,9967
2259,"Waccamaw Siouan SDTSA, NC",25000US9970,9970
1915,"Wassamasaw SDTSA, SC",25000US9975,9975
