B01003_001E,NAME,GEOID,metropolitan statistical area/micropolitan statistical area
51903,"Boone, NC Micro Area",31000US14380,14380
21947,"Borger, TX Micro Area",31000US14420,14420
4650876,"Boston-Cambridge-Newton, MA-NH Metro Area",31000US14460,14460
305166,"Boulder, CO Metro Area",31000US14500,14500
162322,"Bowling Green, KY Metro Area",31000US14540,14540
93108,"Bozeman, MT Micro Area",31000US14580,14580
43024,"Bradford, PA Micro Area",31000US14620,14620
91399,"Brainerd, MN Micro Area",31000US14660,14660
84679,"Branson, MO Micro Area",31000US14700,14700
28482,"Breckenridge, CO Micro Area",31000US14720,14720
253614,"Bremerton-Silverdale, WA Metro Area",31000US14740,14740
34039,"Brenham, TX Micro Area",31000US14780,14780
32943,"Brevard, NC Micro Area",31000US14820,14820
934215,"Bridgeport-Stamford-Norwalk, CT Metro Area",31000US14860,14860
34824,"Brookhaven, MS Micro Area",31000US15020,15020
22341,"Brookings, OR Micro Area",31000US15060,15060
32647,"Brookings, SD Micro Area",31000US15100,15100
415103,"Brownsville-Harlingen, TX Metro Area",31000US15180,15180
37903,"Brownwood, TX Micro Area",31000US15220,15220
113572,"Brunswick, GA Metro Area",31000US15260,15260
43036,"Bucyrus, OH Micro Area",31000US15340,15340
1135667,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",31000US15380,15380
43466,"Burley, ID Micro Area",31000US15420,15420
47339,"Burlington, IA-IL Micro Area",31000US15460,15460
153713,"Burlington, NC Metro Area",31000US15500,15500
213891,"Burlington-South Burlington, VT Metro Area",31000US15540,15540
34462,"Butte-Silver Bow, MT Micro Area",31000US15580,15580
47685,"Cadillac, MI Micro Area",31000US15620,15620
55666,"Calhoun, GA Micro Area",31000US15660,15660
108472,"California-Lexington Park, MD Metro Area",31000US15680,15680
32614,"Cambridge, MD Micro Area",31000US15700,15700
39794,"Cambridge, OH Micro Area",31000US15740,15740
30687,"Camden, AR Micro Area",31000US15780,15780
25059,"Campbellsville, KY Micro Area",31000US15820,15820
46879,"Cañon City, CO Micro Area",31000US15860,15860
36616,"Canton, IL Micro Area",31000US15900,15900
403629,"Canton-Massillon, OH Metro Area",31000US15940,15940
647554,"Cape Coral-Fort Myers, FL Metro Area",31000US15980,15980
97246,"Cape Girardeau, MO-IL Metro Area",31000US16020,16020
126933,"Carbondale-Marion, IL Metro Area",31000US16060,16060
54834,"Carlsbad-Artesia, NM Micro Area",31000US16100,16100
54634,"Carson City, NV Metro Area",31000US16180,16180
78667,"Casper, WY Metro Area",31000US16220,16220
46725,"Cedar City, UT Micro Area",31000US16260,16260
261429,"Cedar Rapids, IA Metro Area",31000US16300,16300
41250,"Cedartown, GA Micro Area",31000US16340,16340
40789,"Celina, OH Micro Area",31000US16380,16380
38922,"Centralia, IL Micro Area",31000US16460,16460
75382,"Centralia, WA Micro Area",31000US16500,16500
151517,"Chambersburg-Waynesboro, PA Metro Area",31000US16540,16540
234672,"Champaign-Urbana, IL Metro Area",31000US16580,16580
225248,"Charleston, WV Metro Area",31000US16620,16620
64605,"Charleston-Mattoon, IL Micro Area",31000US16660,16660
697281,"Charleston-North Charleston, SC Metro Area",31000US16700,16700
2298915,"Charlotte-Concord-Gastonia, NC-SC Metro Area",31000US16740,16740
223063,"Charlottesville, VA Metro Area",31000US16820,16820
537397,"Chattanooga, TN-GA Metro Area",31000US16860,16860
94412,"Cheyenne, WY Metro Area",31000US16940,16940
9516448,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",31000US16980,16980
221578,"Chico, CA Metro Area",31000US17020,17020
77552,"Chillicothe, OH Micro Area",31000US17060,17060
2131793,"Cincinnati, OH-KY-IN Metro Area",31000US17140,17140
217906,"Claremont-Lebanon, NH-VT Micro Area",31000US17200,17200
94320,"Clarksburg, WV Micro Area",31000US17220,17220
25527,"Clarksdale, MS Micro Area",31000US17260,17260
270751,"Clarksville, TN-KY Metro Area",31000US17300,17300
64209,"Clearlake, CA Micro Area",31000US17340,17340
33961,"Cleveland, MS Micro Area",31000US17380,17380
117719,"Cleveland, TN Metro Area",31000US17420,17420
2067490,"Cleveland-Elyria, OH Metro Area",31000US17460,17460
38360,"Clewiston, FL Micro Area",31000US17500,17500
48663,"Clinton, IA Micro Area",31000US17540,17540
50173,"Clovis, NM Micro Area",31000US17580,17580
142783,"Coeur d'Alene, ID Metro Area",31000US17660,17660
34602,"Coffeyville, KS Micro Area",31000US17700,17700
43965,"Coldwater, MI Micro Area",31000US17740,17740
235316,"College Station-Bryan, TX Metro Area",31000US17780,17780
669070,"Colorado Springs, CO Metro Area",31000US17820,17820
168268,"Columbia, MO Metro Area",31000US17860,17860
784698,"Columbia, SC Metro Area",31000US17900,17900
308363,"Columbus, GA-AL Metro Area",31000US17980,17980
78628,"Columbus, IN Metro Area",31000US18020,18020
59736,"Columbus, MS Micro Area",31000US18060,18060
32485,"Columbus, NE Micro Area",31000US18100,18100
1948188,"Columbus, OH Metro Area",31000US18140,18140
146880,"Concord, NH Micro Area",31000US18180,18180
23955,"Connersville, IN Micro Area",31000US18220,18220
106901,"Cookeville, TN Micro Area",31000US18260,18260
62678,"Coos Bay, OR Micro Area",31000US18300,18300
23403,"Cordele, GA Micro Area",31000US18380,18380
37279,"Corinth, MS Micro Area",31000US18420,18420
43342,"Cornelia, GA Micro Area",31000US18460,18460
98917,"Corning, NY Micro Area",31000US18500,18500
437528,"Corpus Christi, TX Metro Area",31000US18580,18580
48073,"Corsicana, TX Micro Area",31000US18620,18620
