B01003_001E,NAME,GEOID,state,congressional district
691709,"Congressional District 1 (114th Congress), Alabama",50000US0101,01,01
685500,"Congressional District 2 (114th Congress), Alabama",50000US0102,01,02
692659,"Congressional District 3 (114th Congress), Alabama",50000US0103,01,03
683276,"Congressional District 4 (114th Congress), Alabama",50000US0104,01,04
695876,"Congressional District 5 (114th Congress), Alabama",50000US0105,01,05
688346,"Congressional District 6 (114th Congress), Alabama",50000US0106,01,06
680312,"Congressional District 7 (114th Congress), Alabama",50000US0107,01,07
728300,"Congressional District (at Large) (114th Congress), Alaska",50000US0200,02,00
724361,"Congressional District 1 (114th Congress), Arizona",50000US0401,04,01
716939,"Congressional District 2 (114th Congress), Arizona",50000US0402,04,02
725399,"Congressional District 3 (114th Congress), Arizona",50000US0403,04,03
724501,"Congressional District 4 (114th Congress), Arizona",50000US0404,04,04
743690,"Congressional District 5 (114th Congress), Arizona",50000US0405,04,05
729975,"Congressional District 6 (114th Congress), Arizona",50000US0406,04,06
733248,"Congressional District 7 (114th Congress), Arizona",50000US0407,04,07
734569,"Congressional District 8 (114th Congress), Arizona",50000US0408,04,08
728834,"Congressional District 9 (114th Congress), Arizona",50000US0409,04,09
727516,"Congressional District 1 (114th Congress), Arkansas",50000US0501,05,01
745257,"Congressional District 2 (114th Congress), Arkansas",50000US0502,05,02
750491,"Congressional District 3 (114th Congress), Arkansas",50000US0503,05,03
723772,"Congressional District 4 (114th Congress), Arkansas",50000US0504,05,04
704170,"Congressional District 1 (114th Congress), California",50000US0601,06,01
709377,"Congressional District 2 (114th Congress), California",50000US0602,06,02
710463,"Congressional District 3 (114th Congress), California",50000US0603,06,03
709026,"Congressional District 4 (114th Congress), California",50000US0604,06,04
717238,"Congressional District 5 (114th Congress), California",50000US0605,06,05
716945,"Congressional District 6 (114th Congress), California",50000US0606,06,06
721345,"Congressional District 7 (114th Congress), California",50000US0607,06,07
707590,"Congressional District 8 (114th Congress), California",50000US0608,06,08
723517,"Congressional District 9 (114th Congress), California",50000US0609,06,09
715504,"Congressional District 10 (114th Congress), California",50000US0610,06,10
721629,"Congressional District 11 (114th Congress), California",50000US0611,06,11
720093,"Congressional District 12 (114th Congress), California",50000US0612,06,12
722995,"Congressional District 13 (114th Congress), California",50000US0613,06,13
726899,"Congressional District 14 (114th Congress), California",50000US0614,06,14
728585,"Congressional District 15 (114th Congress), California",50000US0615,06,15
713649,"Congressional District 16 (114th Congress), California",50000US0616,06,16
727638,"Congressional District 17 (114th Congress), California",50000US0617,06,17
724501,"Congressional District 18 (114th Congress), California",50000US0618,06,18
725285,"Congressional District 19 (114th Congress), California",50000US0619,06,19
719355,"Congressional District 20 (114th Congress), California",50000US0620,06,20
710712,"Congressional District 21 (114th Congress), California",50000US0621,06,21
724506,"Congressional District 22 (114th Congress), California",50000US0622,06,22
717203,"Congressional District 23 (114th Congress), California",50000US0623,06,23
715126,"Congressional District 24 (114th Congress), California",50000US0624,06,24
712071,"Congressional District 25 (114th Congress), California",50000US0625,06,25
713059,"Congressional District 26 (114th Congress), California",50000US0626,06,26
714256,"Congressional District 27 (114th Congress), California",50000US0627,06,27
714098,"Congressional District 28 (114th Congress), California",50000US0628,06,28
707030,"Congressional District 29 (114th Congress), California",50000US0629,06,29
735233,"Congressional District 30 (114th Congress), California",50000US0630,06,30
721640,"Congressional District 31 (114th Congress), California",50000US0631,06,31
715691,"Congressional District 32 (114th Congress), California",50000US0632,06,32
712287,"Congressional District 33 (114th Congress), California",50000US0633,06,33
706331,"Congressional District 34 (114th Congress), California",50000US0634,06,34
723202,"Congressional District 35 (114th Congress), California",50000US0635,06,35
722617,"Congressional District 36 (114th Congress), California",50000US0636,06,36
717062,"Congressional District 37 (114th Congress), California",50000US0637,06,37
714959,"Congressional District 38 (114th Congress), California",50000US0638,06,38
719303,"Congressional District 39 (114th Congress), California",50000US0639,06,39
706825,"Congressional District 40 (114th Congress), California",50000US0640,06,40
723608,"Congressional District 41 (114th Congress), California",50000US0641,06,41
735866,"Congressional District 42 (114th Congress), California",50000US0642,06,42
709580,"Congressional District 43 (114th Congress), California",50000US0643,06,43
715526,"Congressional District 44 (114th Congress), California",50000US0644,06,44
727633,"Congressional District 45 (114th Congress), California",50000US0645,06,45
717316,"Congressional District 46 (114th Congress), California",50000US0646,06,46
716563,"Congressional District 47 (114th Congress), California",50000US0647,06,47
716473,"Congressional District 48 (114th Congress), California",50000US0648,06,48
717346,"Congressional District 49 (114th Congress), California",50000US0649,06,49
720932,"Congressional District 50 (114th Congress), California",50000US0650,06,50
722365,"Congressional District 51 (114th Congress), California",50000US0651,06,51
722414,"Congressional District 52 (114th Congress), California",50000US0652,06,52
732283,"Congressional District 53 (114th Congress), California",50000US0653,06,53
754428,"Congressional District 1 (114th Congress), Colorado",50000US0801,08,01
743871,"Congressional District 2 (114th Congress), Colorado",50000US0802,08,02
721514,"Congressional District 3 (114th Congress), Colorado",50000US0803,08,03
740752,"Congressional District 4 (114th Congress), Colorado",50000US0804,08,04
742085,"Congressional District 5 (114th Congress), Colorado",50000US0805,08,05
749853,"Congressional District 6 (114th Congress), Colorado",50000US0806,08,06
745077,"Congressional District 7 (114th Congress), Colorado",50000US0807,08,07
716939,"Congressional District 1 (114th Congress), Connecticut",50000US0901,09,01
714049,"Congressional District 2 (114th Congress), Connecticut",50000US0902,09,02
716410,"Congressional District 3 (114th Congress), Connecticut",50000US0903,09,03
728317,"Congressional District 4 (114th Congress), Connecticut",50000US0904,09,04
716338,"Congressional District 5 (114th Congress), Connecticut",50000US0905,09,05
917060,"Congressional District (at Large) (114th Congress), Delaware",50000US1000,10,00
633736,"Delegate District (at Large) (114th Congress), District of Columbia",50000US1198,11,98
720838,"Congressional District 1 (114th Congress), Florida",50000US1201,12,01
705039,"Congressional District 2 (114th Congress), Florida",50000US1202,12,02
704221,"Congressional District 3 (114th Congress), Florida",50000US1203,12,03
711805,"Congressional District 4 (114th Congress), Florida",50000US1204,12,04
702714,"Congressional District 5 (114th Congress), Florida",50000US1205,12,05
716304,"Congressional District 6 (114th Congress), Florida",50000US1206,12,06
712793,"Congressional District 7 (114th Congress), Florida",50000US1207,12,07
704638,"Congressional District 8 (114th Congress), Florida",50000US1208,12,08
745639,"Congressional District 9 (114th Congress), Florida",50000US1209,12,09
727409,"Congressional District 10 (114th Congress), Florida",50000US1210,12,10
709489,"Congressional District 11 (114th Congress), Florida",50000US1211,12,11
709722,"Congressional District 12 (114th Congress), Florida",50000US1212,12,12
701045,"Congressional District 13 (114th Congress), Florida",50000US1213,12,13
725056,"Congressional District 14 (114th Congress), Florida",50000US1214,12,14
716560,"Congressional District 15 (114th Congress), Florida",50000US1215,12,15
717249,"Congressional District 16 (114th Congress), Florida",50000US1216,12,16
711159,"Congressional District 17 (114th Congress), Florida",50000US1217,12,17
706940,"Congressional District 18 (114th Congress), Florida",50000US1218,12,18
723552,"Congressional District 19 (114th Congress), Florida",50000US1219,12,19
724296,"Congressional District 20 (114th Congress), Florida",50000US1220,12,20
724095,"Congressional District 21 (114th Congress), Florida",50000US1221,12,21
716067,"Congressional District 22 (114th Congress), Florida",50000US1222,12,22
725025,"Congressional District 23 (114th Congress), Florida",50000US1223,12,23
717150,"Congressional District 24 (114th Congress), Florida",50000US1224,12,24
720794,"Congressional District 25 (114th Congress), Florida",50000US1225,12,25
732043,"Congressional District 26 (114th Congress), Florida",50000US1226,12,26
730150,"Congressional District 27 (114th Congress), Florida",50000US1227,12,27
710221,"Congressional District 1 (114th Congress), Georgia",50000US1301,13,01
694393,"Congressional District 2 (114th Congress), Georgia",50000US1302,13,02
703287,"Congressional District 3 (114th Congress), Georgia",50000US1303,13,03
711856,"Congressional District 4 (114th Congress), Georgia",50000US1304,13,04
716450,"Congressional District 5 (114th Congress), Georgia",50000US1305,13,05
715913,"Congressional District 6 (114th Congress), Georgia",50000US1306,13,06
727878,"Congressional District 7 (114th Congress), Georgia",50000US1307,13,07
699609,"Congressional District 8 (114th Congress), Georgia",50000US1308,13,08
702933,"Congressional District 9 (114th Congress), Georgia",50000US1309,13,09
705185,"Congressional District 10 (114th Congress), Georgia",50000US1310,13,10
711199,"Congressional District 11 (114th Congress), Georgia",50000US1311,13,11
702694,"Congressional District 12 (114th Congress), Georgia",50000US1312,13,12
710658,"Congressional District 13 (114th Congress), Georgia",50000US1313,13,13
695480,"Congressional District 14 (114th Congress), Georgia",50000US1314,13,14
696823,"Congressional District 1 (114th Congress), Hawaii",50000US1501,15,01
695881,"Congressional District 2 (114th Congress), Hawaii",50000US1502,15,02
806371,"Congressional District 1 (114th Congress), Idaho",50000US1601,16,01
793093,"Congressional District 2 (114th Congress), Idaho",50000US1602,16,02
714887,"Congressional District 1 (114th Congress), Illinois",50000US1701,17,01
711167,"Congressional District 2 (114th Congress), Illinois",50000US1702,17,02
718749,"Congressional District 3 (114th Congress), Illinois",50000US1703,17,03
708847,"Congressional District 4 (114th Congress), Illinois",50000US1704,17,04
727898,"Congressional District 5 (114th Congress), Illinois",50000US1705,17,05
723415,"Congressional District 6 (114th Congress), Illinois",50000US1706,17,06
721454,"Congressional District 7 (114th Congress), Illinois",50000US1707,17,07
715612,"Congressional District 8 (114th Congress), Illinois",50000US1708,17,08
714771,"Congressional District 9 (114th Congress), Illinois",50000US1709,17,09
713989,"Congressional District 10 (114th Congress), Illinois",50000US1710,17,10
717190,"Congressional District 11 (114th Congress), Illinois",50000US1711,17,11
709555,"Congressional District 12 (114th Congress), Illinois",50000US1712,17,12
711537,"Congressional District 13 (114th Congress), Illinois",50000US1713,17,13
721339,"Congressional District 14 (114th Congress), Illinois",50000US1714,17,14
708935,"Congressional District 15 (114th Congress), Illinois",50000US1715,17,15
706493,"Congressional District 16 (114th Congress), Illinois",50000US1716,17,16
706029,"Congressional District 17 (114th Congress), Illinois",50000US1717,17,17
716880,"Congressional District 18 (114th Congress), Illinois",50000US1718,17,18
719202,"Congressional District 1 (114th Congress), Indiana",50000US1801,18,01
720377,"Congressional District 2 (114th Congress), Indiana",50000US1802,18,02
727429,"Congressional District 3 (114th Congress), Indiana",50000US1803,18,03
732038,"Congressional District 4 (114th Congress), Indiana",50000US1804,18,04
734567,"Congressional District 5 (114th Congress), Indiana",50000US1805,18,05
720714,"Congressional District 6 (114th Congress), Indiana",50000US1806,18,06
736723,"Congressional District 7 (114th Congress), Indiana",50000US1807,18,07
721965,"Congressional District 8 (114th Congress), Indiana",50000US1808,18,08
729396,"Congressional District 9 (114th Congress), Indiana",50000US1809,18,09
766317,"Congressional District 1 (114th Congress), Iowa",50000US1901,19,01
769772,"Congressional District 2 (114th Congress), Iowa",50000US1902,19,02
781361,"Congressional District 3 (114th Congress), Iowa",50000US1903,19,03
760666,"Congressional District 4 (114th Congress), Iowa",50000US1904,19,04
719293,"Congressional District 1 (114th Congress), Kansas",50000US2001,20,01
714380,"Congressional District 2 (114th Congress), Kansas",50000US2002,20,02
731483,"Congressional District 3 (114th Congress), Kansas",50000US2003,20,03
717790,"Congressional District 4 (114th Congress), Kansas",50000US2004,20,04
725361,"Congressional District 1 (114th Congress), Kentucky",50000US2101,21,01
734628,"Congressional District 2 (114th Congress), Kentucky",50000US2102,21,02
732199,"Congressional District 3 (114th Congress), Kentucky",50000US2103,21,03
735132,"Congressional District 4 (114th Congress), Kentucky",50000US2104,21,04
717924,"Congressional District 5 (114th Congress), Kentucky",50000US2105,21,05
738028,"Congressional District 6 (114th Congress), Kentucky",50000US2106,21,06
775257,"Congressional District 1 (114th Congress), Louisiana",50000US2201,22,01
771153,"Congressional District 2 (114th Congress), Louisiana",50000US2202,22,02
765712,"Congressional District 3 (114th Congress), Louisiana",50000US2203,22,03
761767,"Congressional District 4 (114th Congress), Louisiana",50000US2204,22,04
755177,"Congressional District 5 (114th Congress), Louisiana",50000US2205,22,05
771983,"Congressional District 6 (114th Congress), Louisiana",50000US2206,22,06
667929,"Congressional District 1 (114th Congress), Maine",50000US2301,23,01
660606,"Congressional District 2 (114th Congress), Maine",50000US2302,23,02
725492,"Congressional District 1 (114th Congress), Maryland",50000US2401,24,01
736859,"Congressional District 2 (114th Congress), Maryland",50000US2402,24,02
735980,"Congressional District 3 (114th Congress), Maryland",50000US2403,24,03
736478,"Congressional District 4 (114th Congress), Maryland",50000US2404,24,04
739221,"Congressional District 5 (114th Congress), Maryland",50000US2405,24,05
742397,"Congressional District 6 (114th Congress), Maryland",50000US2406,24,06
726562,"Congressional District 7 (114th Congress), Maryland",50000US2407,24,07
744787,"Congressional District 8 (114th Congress), Maryland",50000US2408,24,08
730472,"Congressional District 1 (114th Congress), Massachusetts",50000US2501,25,01
735483,"Congressional District 2 (114th Congress), Massachusetts",50000US2502,25,02
742969,"Congressional District 3 (114th Congress), Massachusetts",50000US2503,25,03
738092,"Congressional District 4 (114th Congress), Massachusetts",50000US2504,25,04
743296,"Congressional District 5 (114th Congress), Massachusetts",50000US2505,25,05
743444,"Congressional District 6 (114th Congress), Massachusetts",50000US2506,25,06
748105,"Congressional District 7 (114th Congress), Massachusetts",50000US2507,25,07
745056,"Congressional District 8 (114th Congress), Massachusetts",50000US2508,25,08
730374,"Congressional District 9 (114th Congress), Massachusetts",50000US2509,25,09
704934,"Congressional District 1 (114th Congress), Michigan",50000US2601,26,01
713440,"Congressional District 2 (114th Congress), Michigan",50000US2602,26,02
714773,"Congressional District 3 (114th Congress), Michigan",50000US2603,26,03
704048,"Congressional District 4 (114th Congress), Michigan",50000US2604,26,04
695878,"Congressional District 5 (114th Congress), Michigan",50000US2605,26,05
709328,"Congressional District 6 (114th Congress), Michigan",50000US2606,26,06
705141,"Congressional District 7 (114th Congress), Michigan",50000US2607,26,07
714299,"Congressional District 8 (114th Congress), Michigan",50000US2608,26,08
711268,"Congressional District 9 (114th Congress), Michigan",50000US2609,26,09
706951,"Congressional District 10 (114th Congress), Michigan",50000US2610,26,10
712132,"Congressional District 11 (114th Congress), Michigan",50000US2611,26,11
704700,"Congressional District 12 (114th Congress), Michigan",50000US2612,26,12
693926,"Congressional District 13 (114th Congress), Michigan",50000US2613,26,13
698206,"Congressional District 14 (114th Congress), Michigan",50000US2614,26,14
666065,"Congressional District 1 (114th Congress), Minnesota",50000US2701,27,01
676211,"Congressional District 2 (114th Congress), Minnesota",50000US2702,27,02
680724,"Congressional District 3 (114th Congress), Minnesota",50000US2703,27,03
679686,"Congressional District 4 (114th Congress), Minnesota",50000US2704,27,04
680007,"Congressional District 5 (114th Congress), Minnesota",50000US2705,27,05
675539,"Congressional District 6 (114th Congress), Minnesota",50000US2706,27,06
662431,"Congressional District 7 (114th Congress), Minnesota",50000US2707,27,07
662998,"Congressional District 8 (114th Congress), Minnesota",50000US2708,27,08
749866,"Congressional District 1 (114th Congress), Mississippi",50000US2801,28,01
733388,"Congressional District 2 (114th Congress), Mississippi",50000US2802,28,02
747571,"Congressional District 3 (114th Congress), Mississippi",50000US2803,28,03
753520,"Congressional District 4 (114th Congress), Mississippi",50000US2804,28,04
745884,"Congressional District 1 (114th Congress), Missouri",50000US2901,29,01
754011,"Congressional District 2 (114th Congress), Missouri",50000US2902,29,02
759626,"Congressional District 3 (114th Congress), Missouri",50000US2903,29,03
756097,"Congressional District 4 (114th Congress), Missouri",50000US2904,29,04
752373,"Congressional District 5 (114th Congress), Missouri",50000US2905,29,05
755179,"Congressional District 6 (114th Congress), Missouri",50000US2906,29,06
757096,"Congressional District 7 (114th Congress), Missouri",50000US2907,29,07
747810,"Congressional District 8 (114th Congress), Missouri",50000US2908,29,08
1006370,"Congressional District (at Large) (114th Congress), Montana",50000US3000,30,00
620772,"Congressional District 1 (114th Congress), Nebraska",50000US3101,31,01
626633,"Congressional District 2 (114th Congress), Nebraska",50000US3102,31,02
608212,"Congressional District 3 (114th Congress), Nebraska",50000US3103,31,03
667777,"Congressional District 1 (114th Congress), Nevada",50000US3201,32,01
685039,"Congressional District 2 (114th Congress), Nevada",50000US3202,32,02
712425,"Congressional District 3 (114th Congress), Nevada",50000US3203,32,03
696343,"Congressional District 4 (114th Congress), Nevada",50000US3204,32,04
662609,"Congressional District 1 (114th Congress), New Hampshire",50000US3301,33,01
