B01003_001E,NAME,GEOID,state,congressional district
744302,"Congressional District 10 (114th Congress), Florida",50000US1210,12,10
716483,"Congressional District 11 (114th Congress), Florida",50000US1211,12,11
718791,"Congressional District 12 (114th Congress), Florida",50000US1212,12,12
705404,"Congressional District 13 (114th Congress), Florida",50000US1213,12,13
740136,"Congressional District 14 (114th Congress), Florida",50000US1214,12,14
721727,"Congressional District 15 (114th Congress), Florida",50000US1215,12,15
730336,"Congressional District 16 (114th Congress), Florida",50000US1216,12,16
722477,"Congressional District 17 (114th Congress), Florida",50000US1217,12,17
717984,"Congressional District 18 (114th Congress), Florida",50000US1218,12,18
738277,"Congressional District 19 (114th Congress), Florida",50000US1219,12,19
738136,"Congressional District 20 (114th Congress), Florida",50000US1220,12,20
735036,"Congressional District 21 (114th Congress), Florida",50000US1221,12,21
722209,"Congressional District 22 (114th Congress), Florida",50000US1222,12,22
733644,"Congressional District 23 (114th Congress), Florida",50000US1223,12,23
733049,"Congressional District 24 (114th Congress), Florida",50000US1224,12,24
736959,"Congressional District 25 (114th Congress), Florida",50000US1225,12,25
738104,"Congressional District 26 (114th Congress), Florida",50000US1226,12,26
740432,"Congressional District 27 (114th Congress), Florida",50000US1227,12,27
717131,"Congressional District 1 (114th Congress), Georgia",50000US1301,13,01
692667,"Congressional District 2 (114th Congress), Georgia",50000US1302,13,02
708059,"Congressional District 3 (114th Congress), Georgia",50000US1303,13,03
723659,"Congressional District 4 (114th Congress), Georgia",50000US1304,13,04
725618,"Congressional District 5 (114th Congress), Georgia",50000US1305,13,05
724825,"Congressional District 6 (114th Congress), Georgia",50000US1306,13,06
745461,"Congressional District 7 (114th Congress), Georgia",50000US1307,13,07
700278,"Congressional District 8 (114th Congress), Georgia",50000US1308,13,08
708458,"Congressional District 9 (114th Congress), Georgia",50000US1309,13,09
710214,"Congressional District 10 (114th Congress), Georgia",50000US1310,13,10
723473,"Congressional District 11 (114th Congress), Georgia",50000US1311,13,11
706062,"Congressional District 12 (114th Congress), Georgia",50000US1312,13,12
723108,"Congressional District 13 (114th Congress), Georgia",50000US1313,13,13
697680,"Congressional District 14 (114th Congress), Georgia",50000US1314,13,14
703960,"Congressional District 1 (114th Congress), Hawaii",50000US1501,15,01
702339,"Congressional District 2 (114th Congress), Hawaii",50000US1502,15,02
768669,"Congressional District 1 (114th Congress), Iowa",50000US1901,19,01
772811,"Congressional District 2 (114th Congress), Iowa",50000US1902,19,02
791250,"Congressional District 3 (114th Congress), Iowa",50000US1903,19,03
760796,"Congressional District 4 (114th Congress), Iowa",50000US1904,19,04
819605,"Congressional District 1 (114th Congress), Idaho",50000US1601,16,01
796942,"Congressional District 2 (114th Congress), Idaho",50000US1602,16,02
712393,"Congressional District 1 (114th Congress), Illinois",50000US1701,17,01
708498,"Congressional District 2 (114th Congress), Illinois",50000US1702,17,02
722289,"Congressional District 3 (114th Congress), Illinois",50000US1703,17,03
712139,"Congressional District 4 (114th Congress), Illinois",50000US1704,17,04
730336,"Congressional District 5 (114th Congress), Illinois",50000US1705,17,05
724337,"Congressional District 6 (114th Congress), Illinois",50000US1706,17,06
724029,"Congressional District 7 (114th Congress), Illinois",50000US1707,17,07
717333,"Congressional District 8 (114th Congress), Illinois",50000US1708,17,08
716040,"Congressional District 9 (114th Congress), Illinois",50000US1709,17,09
713687,"Congressional District 10 (114th Congress), Illinois",50000US1710,17,10
722840,"Congressional District 11 (114th Congress), Illinois",50000US1711,17,11
706390,"Congressional District 12 (114th Congress), Illinois",50000US1712,17,12
711498,"Congressional District 13 (114th Congress), Illinois",50000US1713,17,13
723419,"Congressional District 14 (114th Congress), Illinois",50000US1714,17,14
705952,"Congressional District 15 (114th Congress), Illinois",50000US1715,17,15
703553,"Congressional District 16 (114th Congress), Illinois",50000US1716,17,16
703051,"Congressional District 17 (114th Congress), Illinois",50000US1717,17,17
715977,"Congressional District 18 (114th Congress), Illinois",50000US1718,17,18
718511,"Congressional District 1 (114th Congress), Indiana",50000US1801,18,01
720975,"Congressional District 2 (114th Congress), Indiana",50000US1802,18,02
730697,"Congressional District 3 (114th Congress), Indiana",50000US1803,18,03
736048,"Congressional District 4 (114th Congress), Indiana",50000US1804,18,04
742679,"Congressional District 5 (114th Congress), Indiana",50000US1805,18,05
720403,"Congressional District 6 (114th Congress), Indiana",50000US1806,18,06
742788,"Congressional District 7 (114th Congress), Indiana",50000US1807,18,07
722271,"Congressional District 8 (114th Congress), Indiana",50000US1808,18,08
734273,"Congressional District 9 (114th Congress), Indiana",50000US1809,18,09
718749,"Congressional District 1 (114th Congress), Kansas",50000US2001,20,01
714500,"Congressional District 2 (114th Congress), Kansas",50000US2002,20,02
739564,"Congressional District 3 (114th Congress), Kansas",50000US2003,20,03
720174,"Congressional District 4 (114th Congress), Kansas",50000US2004,20,04
723936,"Congressional District 1 (114th Congress), Kentucky",50000US2101,21,01
738714,"Congressional District 2 (114th Congress), Kentucky",50000US2102,21,02
736054,"Congressional District 3 (114th Congress), Kentucky",50000US2103,21,03
740371,"Congressional District 4 (114th Congress), Kentucky",50000US2104,21,04
714056,"Congressional District 5 (114th Congress), Kentucky",50000US2105,21,05
744222,"Congressional District 6 (114th Congress), Kentucky",50000US2106,21,06
784820,"Congressional District 1 (114th Congress), Louisiana",50000US2201,22,01
774078,"Congressional District 2 (114th Congress), Louisiana",50000US2202,22,02
770817,"Congressional District 3 (114th Congress), Louisiana",50000US2203,22,03
761080,"Congressional District 4 (114th Congress), Louisiana",50000US2204,22,04
753229,"Congressional District 5 (114th Congress), Louisiana",50000US2205,22,05
781229,"Congressional District 6 (114th Congress), Louisiana",50000US2206,22,06
731275,"Congressional District 1 (114th Congress), Massachusetts",50000US2501,25,01
738797,"Congressional District 2 (114th Congress), Massachusetts",50000US2502,25,02
749922,"Congressional District 3 (114th Congress), Massachusetts",50000US2503,25,03
742694,"Congressional District 4 (114th Congress), Massachusetts",50000US2504,25,04
749525,"Congressional District 5 (114th Congress), Massachusetts",50000US2505,25,05
749825,"Congressional District 6 (114th Congress), Massachusetts",50000US2506,25,06
758973,"Congressional District 7 (114th Congress), Massachusetts",50000US2507,25,07
752164,"Congressional District 8 (114th Congress), Massachusetts",50000US2508,25,08
732411,"Congressional District 9 (114th Congress), Massachusetts",50000US2509,25,09
727304,"Congressional District 1 (114th Congress), Maryland",50000US2401,24,01
745184,"Congressional District 2 (114th Congress), Maryland",50000US2402,24,02
744150,"Congressional District 3 (114th Congress), Maryland",50000US2403,24,03
738944,"Congressional District 4 (114th Congress), Maryland",50000US2404,24,04
747788,"Congressional District 5 (114th Congress), Maryland",50000US2405,24,05
750122,"Congressional District 6 (114th Congress), Maryland",50000US2406,24,06
725370,"Congressional District 7 (114th Congress), Maryland",50000US2407,24,07
751676,"Congressional District 8 (114th Congress), Maryland",50000US2408,24,08
670268,"Congressional District 1 (114th Congress), Maine",50000US2301,23,01
658832,"Congressional District 2 (114th Congress), Maine",50000US2302,23,02
703859,"Congressional District 1 (114th Congress), Michigan",50000US2601,26,01
718740,"Congressional District 2 (114th Congress), Michigan",50000US2602,26,02
720096,"Congressional District 3 (114th Congress), Michigan",50000US2603,26,03
702929,"Congressional District 4 (114th Congress), Michigan",50000US2604,26,04
691727,"Congressional District 5 (114th Congress), Michigan",50000US2605,26,05
710981,"Congressional District 6 (114th Congress), Michigan",50000US2606,26,06
704416,"Congressional District 7 (114th Congress), Michigan",50000US2607,26,07
719666,"Congressional District 8 (114th Congress), Michigan",50000US2608,26,08
713802,"Congressional District 9 (114th Congress), Michigan",50000US2609,26,09
