B01003_001E,NAME,GEOID,zip code tabulation area
1009,ZCTA5 01026,86000US01026,01026
17652,ZCTA5 01027,86000US01027,01027
15917,ZCTA5 01028,86000US01028,01028
701,ZCTA5 01029,86000US01029,01029
11485,ZCTA5 01030,86000US01030,01030
1389,ZCTA5 01031,86000US01031,01031
585,ZCTA5 01032,86000US01032,01032
6214,ZCTA5 01033,86000US01033,01033
2061,ZCTA5 01034,86000US01034,01034
5285,ZCTA5 01035,86000US01035,01035
5141,ZCTA5 01036,86000US01036,01036
721,ZCTA5 01037,86000US01037,01037
2837,ZCTA5 01038,86000US01038,01038
1354,ZCTA5 01039,86000US01039,01039
40079,ZCTA5 01040,86000US01040,01040
2512,ZCTA5 01050,86000US01050,01050
1847,ZCTA5 01053,86000US01053,01053
1836,ZCTA5 01054,86000US01054,01054
21288,ZCTA5 01056,86000US01056,01056
8645,ZCTA5 01057,86000US01057,01057
15348,ZCTA5 01060,86000US01060,01060
10830,ZCTA5 01062,86000US01062,01062
612,ZCTA5 01063,86000US01063,01063
10,ZCTA5 01066,86000US01066,01066
1791,ZCTA5 01068,86000US01068,01068
8982,ZCTA5 01069,86000US01069,01069
580,ZCTA5 01070,86000US01070,01070
1361,ZCTA5 01071,86000US01071,01071
1482,ZCTA5 01072,86000US01072,01072
5958,ZCTA5 01073,86000US01073,01073
301,ZCTA5 01074,86000US01074,01074
17832,ZCTA5 01075,86000US01075,01075
9599,ZCTA5 01077,86000US01077,01077
542,ZCTA5 01079,86000US01079,01079
2176,ZCTA5 01080,86000US01080,01080
1807,ZCTA5 01081,86000US01081,01081
10394,ZCTA5 01082,86000US01082,01082
3108,ZCTA5 01083,86000US01083,01083
211,ZCTA5 01084,86000US01084,01084
41121,ZCTA5 01085,86000US01085,01085
1038,ZCTA5 01086,86000US01086,01086
446,ZCTA5 01088,86000US01088,01088
28554,ZCTA5 01089,86000US01089,01089
1078,ZCTA5 01092,86000US01092,01092
282,ZCTA5 01093,86000US01093,01093
310,ZCTA5 01094,86000US01094,01094
14436,ZCTA5 01095,86000US01095,01095
2522,ZCTA5 01096,86000US01096,01096
36,ZCTA5 01097,86000US01097,01097
1095,ZCTA5 01098,86000US01098,01098
2472,ZCTA5 01103,86000US01103,01103
22285,ZCTA5 01104,86000US01104,01104
12054,ZCTA5 01105,86000US01105,01105
16077,ZCTA5 01106,86000US01106,01106
11706,ZCTA5 01107,86000US01107,01107
26670,ZCTA5 01108,86000US01108,01108
30987,ZCTA5 01109,86000US01109,01109
14192,ZCTA5 01118,86000US01118,01118
13942,ZCTA5 01119,86000US01119,01119
2568,ZCTA5 01128,86000US01128,01128
7160,ZCTA5 01129,86000US01129,01129
9581,ZCTA5 01151,86000US01151,01151
0,ZCTA5 01199,86000US01199,01199
45557,ZCTA5 01201,86000US01201,01201
8536,ZCTA5 01220,86000US01220,01220
811,ZCTA5 01222,86000US01222,01222
2336,ZCTA5 01223,86000US01223,01223
242,ZCTA5 01224,86000US01224,01224
3057,ZCTA5 01225,86000US01225,01225
6944,ZCTA5 01226,86000US01226,01226
131,ZCTA5 01229,86000US01229,01229
8148,ZCTA5 01230,86000US01230,01230
2904,ZCTA5 01235,86000US01235,01235
1574,ZCTA5 01236,86000US01236,01236
2735,ZCTA5 01237,86000US01237,01237
6245,ZCTA5 01238,86000US01238,01238
4823,ZCTA5 01240,86000US01240,01240
192,ZCTA5 01242,86000US01242,01242
383,ZCTA5 01243,86000US01243,01243
149,ZCTA5 01244,86000US01244,01244
807,ZCTA5 01245,86000US01245,01245
15859,ZCTA5 01247,86000US01247,01247
683,ZCTA5 01253,86000US01253,01253
1043,ZCTA5 01254,86000US01254,01254
896,ZCTA5 01255,86000US01255,01255
703,ZCTA5 01256,86000US01256,01256
2140,ZCTA5 01257,86000US01257,01257
334,ZCTA5 01258,86000US01258,01258
540,ZCTA5 01259,86000US01259,01259
246,ZCTA5 01260,86000US01260,01260
1337,ZCTA5 01262,86000US01262,01262
156,ZCTA5 01264,86000US01264,01264
1491,ZCTA5 01266,86000US01266,01266
7906,ZCTA5 01267,86000US01267,01267
766,ZCTA5 01270,86000US01270,01270
17731,ZCTA5 01301,86000US01301,01301
1596,ZCTA5 01330,86000US01330,01330
13264,ZCTA5 01331,86000US01331,01331
2576,ZCTA5 01337,86000US01337,01337
209,ZCTA5 01338,86000US01338,01338
1514,ZCTA5 01339,86000US01339,01339
1686,ZCTA5 01340,86000US01340,01340
1583,ZCTA5 01341,86000US01341,01341
1577,ZCTA5 01342,86000US01342,01342
72,ZCTA5 01343,86000US01343,01343
1557,ZCTA5 01344,86000US01344,01344
466,ZCTA5 01346,86000US01346,01346
128,ZCTA5 01347,86000US01347,01347
888,ZCTA5 01349,86000US01349,01349
118,ZCTA5 01350,86000US01350,01350
2167,ZCTA5 01351,86000US01351,01351
1573,ZCTA5 01354,86000US01354,01354
981,ZCTA5 01355,86000US01355,01355
3031,ZCTA5 01360,86000US01360,01360
7932,ZCTA5 01364,86000US01364,01364
1355,ZCTA5 01366,86000US01366,01366
569,ZCTA5 01367,86000US01367,01367
1230,ZCTA5 01368,86000US01368,01368
4143,ZCTA5 01370,86000US01370,01370
4406,ZCTA5 01373,86000US01373,01373
3683,ZCTA5 01375,86000US01375,01375
5511,ZCTA5 01376,86000US01376,01376
690,ZCTA5 01378,86000US01378,01378
873,ZCTA5 01379,86000US01379,01379
40419,ZCTA5 01420,86000US01420,01420
6133,ZCTA5 01430,86000US01430,01430
3147,ZCTA5 01431,86000US01431,01431
7337,ZCTA5 01432,86000US01432,01432
1656,ZCTA5 01434,86000US01434,01434
3931,ZCTA5 01436,86000US01436,01436
464,ZCTA5 01438,86000US01438,01438
20293,ZCTA5 01440,86000US01440,01440
10997,ZCTA5 01450,86000US01450,01450
4841,ZCTA5 01451,86000US01451,01451
4452,ZCTA5 01452,86000US01452,01452
40978,ZCTA5 01453,86000US01453,01453
9157,ZCTA5 01460,86000US01460,01460
10797,ZCTA5 01462,86000US01462,01462
11782,ZCTA5 01463,86000US01463,01463
7404,ZCTA5 01464,86000US01464,01464
440,ZCTA5 01467,86000US01467,01467
3682,ZCTA5 01468,86000US01468,01468
7328,ZCTA5 01469,86000US01469,01469
7361,ZCTA5 01473,86000US01473,01473
1855,ZCTA5 01474,86000US01474,01474
10466,ZCTA5 01475,86000US01475,01475
16136,ZCTA5 01501,86000US01501,01501
2917,ZCTA5 01503,86000US01503,01503
9055,ZCTA5 01504,86000US01504,01504
4399,ZCTA5 01505,86000US01505,01505
3396,ZCTA5 01506,86000US01506,01506
13126,ZCTA5 01507,86000US01507,01507
13675,ZCTA5 01510,86000US01510,01510
2263,ZCTA5 01515,86000US01515,01515
8624,ZCTA5 01516,86000US01516,01516
2418,ZCTA5 01518,86000US01518,01518
6573,ZCTA5 01519,86000US01519,01519
14724,ZCTA5 01520,86000US01520,01520
2491,ZCTA5 01521,86000US01521,01521
3038,ZCTA5 01522,86000US01522,01522
7847,ZCTA5 01523,86000US01523,01523
7103,ZCTA5 01524,86000US01524,01524
152,ZCTA5 01525,86000US01525,01525
13350,ZCTA5 01527,86000US01527,01527
3208,ZCTA5 01529,86000US01529,01529
1109,ZCTA5 01531,86000US01531,01531
14644,ZCTA5 01532,86000US01532,01532
6303,ZCTA5 01534,86000US01534,01534
4715,ZCTA5 01535,86000US01535,01535
7138,ZCTA5 01536,86000US01536,01536
2392,ZCTA5 01537,86000US01537,01537
11219,ZCTA5 01540,86000US01540,01540
3432,ZCTA5 01541,86000US01541,01541
1747,ZCTA5 01542,86000US01542,01542
8188,ZCTA5 01543,86000US01543,01543
35818,ZCTA5 01545,86000US01545,01545
16775,ZCTA5 01550,86000US01550,01550
4565,ZCTA5 01560,86000US01560,01560
155,ZCTA5 01561,86000US01561,01561
11746,ZCTA5 01562,86000US01562,01562
7870,ZCTA5 01564,86000US01564,01564
6945,ZCTA5 01566,86000US01566,01566
7453,ZCTA5 01568,86000US01568,01568
13703,ZCTA5 01569,86000US01569,01569
16806,ZCTA5 01570,86000US01570,01570
11633,ZCTA5 01571,86000US01571,01571
18481,ZCTA5 01581,86000US01581,01581
7687,ZCTA5 01583,86000US01583,01583
4705,ZCTA5 01585,86000US01585,01585
9569,ZCTA5 01588,86000US01588,01588
9014,ZCTA5 01590,86000US01590,01590
24228,ZCTA5 01602,86000US01602,01602
20380,ZCTA5 01603,86000US01603,01603
34628,ZCTA5 01604,86000US01604,01604
27387,ZCTA5 01605,86000US01605,01605
19043,ZCTA5 01606,86000US01606,01606
8991,ZCTA5 01607,86000US01607,01607
3351,ZCTA5 01608,86000US01608,01608
20948,ZCTA5 01609,86000US01609,01609
23885,ZCTA5 01610,86000US01610,01610
2458,ZCTA5 01611,86000US01611,01611
4879,ZCTA5 01612,86000US01612,01612
31780,ZCTA5 01701,86000US01701,01701
38180,ZCTA5 01702,86000US01702,01702
303,ZCTA5 01718,86000US01718,01718
5102,ZCTA5 01719,86000US01719,01719
22197,ZCTA5 01720,86000US01720,01720
16985,ZCTA5 01721,86000US01721,01721
13709,ZCTA5 01730,86000US01730,01730
1893,ZCTA5 01731,86000US01731,01731
5019,ZCTA5 01740,86000US01740,01740
4967,ZCTA5 01741,86000US01741,01741
18948,ZCTA5 01742,86000US01742,01742
309,ZCTA5 01745,86000US01745,01745
14008,ZCTA5 01746,86000US01746,01746
5934,ZCTA5 01747,86000US01747,01747
15604,ZCTA5 01748,86000US01748,01748
19464,ZCTA5 01749,86000US01749,01749
39141,ZCTA5 01752,86000US01752,01752
10314,ZCTA5 01754,86000US01754,01754
5895,ZCTA5 01756,86000US01756,01756
28391,ZCTA5 01757,86000US01757,01757
34043,ZCTA5 01760,86000US01760,01760
4200,ZCTA5 01770,86000US01770,01770
9560,ZCTA5 01772,86000US01772,01772
5367,ZCTA5 01773,86000US01773,01773
6841,ZCTA5 01775,86000US01775,01775
18197,ZCTA5 01776,86000US01776,01776
13421,ZCTA5 01778,86000US01778,01778
39315,ZCTA5 01801,86000US01801,01801
25190,ZCTA5 01803,86000US01803,01803
34251,ZCTA5 01810,86000US01810,01810
31157,ZCTA5 01821,86000US01821,01821
25582,ZCTA5 01824,86000US01824,01824
30315,ZCTA5 01826,86000US01826,01826
3299,ZCTA5 01827,86000US01827,01827
26415,ZCTA5 01830,86000US01830,01830
22137,ZCTA5 01832,86000US01832,01832
8379,ZCTA5 01833,86000US01833,01833
6805,ZCTA5 01834,86000US01834,01834
13217,ZCTA5 01835,86000US01835,01835
4799,ZCTA5 01840,86000US01840,01840
47125,ZCTA5 01841,86000US01841,01841
25440,ZCTA5 01843,86000US01843,01843
48159,ZCTA5 01844,86000US01844,01844
28963,ZCTA5 01845,86000US01845,01845
16198,ZCTA5 01850,86000US01850,01850
30379,ZCTA5 01851,86000US01851,01851
32735,ZCTA5 01852,86000US01852,01852
29214,ZCTA5 01854,86000US01854,01854
6536,ZCTA5 01860,86000US01860,01860
10904,ZCTA5 01862,86000US01862,01862
8913,ZCTA5 01863,86000US01863,01863
15249,ZCTA5 01864,86000US01864,01864
24687,ZCTA5 01867,86000US01867,01867
29103,ZCTA5 01876,86000US01876,01876
11867,ZCTA5 01879,86000US01879,01879
25460,ZCTA5 01880,86000US01880,01880
22854,ZCTA5 01886,86000US01886,01886
22907,ZCTA5 01887,86000US01887,01887
21863,ZCTA5 01890,86000US01890,01890
1807,ZCTA5 01901,86000US01901,01901
46119,ZCTA5 01902,86000US01902,01902
18053,ZCTA5 01904,86000US01904,01904
25269,ZCTA5 01905,86000US01905,01905
27369,ZCTA5 01906,86000US01906,01906
14123,ZCTA5 01907,86000US01907,01907
3451,ZCTA5 01908,86000US01908,01908
16554,ZCTA5 01913,86000US01913,01913
40370,ZCTA5 01915,86000US01915,01915
8105,ZCTA5 01921,86000US01921,01921
2649,ZCTA5 01922,86000US01922,01922
26963,ZCTA5 01923,86000US01923,01923
3580,ZCTA5 01929,86000US01929,01929
29237,ZCTA5 01930,86000US01930,01930
112,ZCTA5 01937,86000US01937,01937
13480,ZCTA5 01938,86000US01938,01938
12704,ZCTA5 01940,86000US01940,01940
5247,ZCTA5 01944,86000US01944,01944
20163,ZCTA5 01945,86000US01945,01945
9273,ZCTA5 01949,86000US01949,01949
17662,ZCTA5 01950,86000US01950,01950
4145,ZCTA5 01951,86000US01951,01951
8495,ZCTA5 01952,86000US01952,01952
51597,ZCTA5 01960,86000US01960,01960
7078,ZCTA5 01966,86000US01966,01966
5995,ZCTA5 01969,86000US01969,01969
42151,ZCTA5 01970,86000US01970,01970
8098,ZCTA5 01982,86000US01982,01982
6286,ZCTA5 01983,86000US01983,01983
5039,ZCTA5 01984,86000US01984,01984
4370,ZCTA5 01985,86000US01985,01985
16564,ZCTA5 02019,86000US02019,02019
22036,ZCTA5 02021,86000US02021,02021
8100,ZCTA5 02025,86000US02025,02025
25111,ZCTA5 02026,86000US02026,02026
5727,ZCTA5 02030,86000US02030,02030
4103,ZCTA5 02032,86000US02032,02032
17129,ZCTA5 02035,86000US02035,02035
32393,ZCTA5 02038,86000US02038,02038
22550,ZCTA5 02043,86000US02043,02043
10324,ZCTA5 02045,86000US02045,02045
125,ZCTA5 02047,86000US02047,02047
23389,ZCTA5 02048,86000US02048,02048
25543,ZCTA5 02050,86000US02050,02050
12236,ZCTA5 02052,86000US02052,02052
12965,ZCTA5 02053,86000US02053,02053
8007,ZCTA5 02054,86000US02054,02054
11407,ZCTA5 02056,86000US02056,02056
10651,ZCTA5 02061,86000US02061,02061
28844,ZCTA5 02062,86000US02062,02062
18002,ZCTA5 02066,86000US02066,02066
17703,ZCTA5 02067,86000US02067,02067
1911,ZCTA5 02071,86000US02071,02071
27833,ZCTA5 02072,86000US02072,02072
18855,ZCTA5 02081,86000US02081,02081
14809,ZCTA5 02090,86000US02090,02090
11169,ZCTA5 02093,86000US02093,02093
4049,ZCTA5 02108,86000US02108,02108
3993,ZCTA5 02109,86000US02109,02109
1906,ZCTA5 02110,86000US02110,02110
7505,ZCTA5 02111,86000US02111,02111
7360,ZCTA5 02113,86000US02113,02113
12801,ZCTA5 02114,86000US02114,02114
29465,ZCTA5 02115,86000US02115,02115
22229,ZCTA5 02116,86000US02116,02116
27534,ZCTA5 02118,86000US02118,02118
25734,ZCTA5 02119,86000US02119,02119
15073,ZCTA5 02120,86000US02120,02120
27459,ZCTA5 02121,86000US02121,02121
25613,ZCTA5 02122,86000US02122,02122
51544,ZCTA5 02124,86000US02124,02124
33937,ZCTA5 02125,86000US02125,02125
28279,ZCTA5 02126,86000US02126,02126
34732,ZCTA5 02127,86000US02127,02127
44512,ZCTA5 02128,86000US02128,02128
17954,ZCTA5 02129,86000US02129,02129
38214,ZCTA5 02130,86000US02130,02130
31733,ZCTA5 02131,86000US02131,02131
28791,ZCTA5 02132,86000US02132,02132
18277,ZCTA5 02134,86000US02134,02134
36486,ZCTA5 02135,86000US02135,02135
30207,ZCTA5 02136,86000US02136,02136
36937,ZCTA5 02138,86000US02138,02138
35783,ZCTA5 02139,86000US02139,02139
17894,ZCTA5 02140,86000US02140,02140
13344,ZCTA5 02141,86000US02141,02141
3030,ZCTA5 02142,86000US02142,02142
25915,ZCTA5 02143,86000US02143,02143
24539,ZCTA5 02144,86000US02144,02144
24807,ZCTA5 02145,86000US02145,02145
60293,ZCTA5 02148,86000US02148,02148
42717,ZCTA5 02149,86000US02149,02149
37074,ZCTA5 02150,86000US02150,02150
53268,ZCTA5 02151,86000US02151,02151
17992,ZCTA5 02152,86000US02152,02152
59193,ZCTA5 02155,86000US02155,02155
2208,ZCTA5 02163,86000US02163,02163
55408,ZCTA5 02169,86000US02169,02169
19318,ZCTA5 02170,86000US02170,02170
18194,ZCTA5 02171,86000US02171,02171
27509,ZCTA5 02176,86000US02176,02176
21611,ZCTA5 02180,86000US02180,02180
36543,ZCTA5 02184,86000US02184,02184
27204,ZCTA5 02186,86000US02186,02186
14642,ZCTA5 02188,86000US02188,02188
15128,ZCTA5 02189,86000US02189,02189
16667,ZCTA5 02190,86000US02190,02190
8378,ZCTA5 02191,86000US02191,02191
1359,ZCTA5 02199,86000US02199,02199
0,ZCTA5 02203,86000US02203,02203
1984,ZCTA5 02210,86000US02210,02210
24046,ZCTA5 02215,86000US02215,02215
59275,ZCTA5 02301,86000US02301,02301
34992,ZCTA5 02302,86000US02302,02302
4421,ZCTA5 02322,86000US02322,02322
26931,ZCTA5 02324,86000US02324,02324
11541,ZCTA5 02330,86000US02330,02330
15208,ZCTA5 02332,86000US02332,02332
13996,ZCTA5 02333,86000US02333,02333
7629,ZCTA5 02338,86000US02338,02338
14120,ZCTA5 02339,86000US02339,02339
10316,ZCTA5 02341,86000US02341,02341
10795,ZCTA5 02343,86000US02343,02343
23541,ZCTA5 02346,86000US02346,02346
10933,ZCTA5 02347,86000US02347,02347
16081,ZCTA5 02351,86000US02351,02351
12923,ZCTA5 02356,86000US02356,02356
938,ZCTA5 02357,86000US02357,02357
18006,ZCTA5 02359,86000US02359,02359
57275,ZCTA5 02360,86000US02360,02360
12846,ZCTA5 02364,86000US02364,02364
139,ZCTA5 02366,86000US02366,02366
2840,ZCTA5 02367,86000US02367,02367
33265,ZCTA5 02368,86000US02368,02368
17616,ZCTA5 02370,86000US02370,02370
9687,ZCTA5 02375,86000US02375,02375
6981,ZCTA5 02379,86000US02379,02379
14643,ZCTA5 02382,86000US02382,02382
13947,ZCTA5 02420,86000US02420,02420
18359,ZCTA5 02421,86000US02421,02421
20723,ZCTA5 02445,86000US02445,02445
28796,ZCTA5 02446,86000US02446,02446
17454,ZCTA5 02451,86000US02451,02451
15495,ZCTA5 02452,86000US02452,02452
28959,ZCTA5 02453,86000US02453,02453
1334,ZCTA5 02457,86000US02457,02457
12093,ZCTA5 02458,86000US02458,02458
18519,ZCTA5 02459,86000US02459,02459
9591,ZCTA5 02460,86000US02460,02460
7099,ZCTA5 02461,86000US02461,02461
1306,ZCTA5 02462,86000US02462,02462
2868,ZCTA5 02464,86000US02464,02464
11499,ZCTA5 02465,86000US02465,02465
8973,ZCTA5 02466,86000US02466,02466
23724,ZCTA5 02467,86000US02467,02467
5374,ZCTA5 02468,86000US02468,02468
32943,ZCTA5 02472,86000US02472,02472
27113,ZCTA5 02474,86000US02474,02474
16615,ZCTA5 02476,86000US02476,02476
25110,ZCTA5 02478,86000US02478,02478
16320,ZCTA5 02481,86000US02481,02481
11204,ZCTA5 02482,86000US02482,02482
20163,ZCTA5 02492,86000US02492,02492
11704,ZCTA5 02493,86000US02493,02493
9377,ZCTA5 02494,86000US02494,02494
11857,ZCTA5 02532,86000US02532,02532
988,ZCTA5 02534,86000US02534,02534
1268,ZCTA5 02535,86000US02535,02535
19060,ZCTA5 02536,86000US02536,02536
6301,ZCTA5 02537,86000US02537,02537
3294,ZCTA5 02538,86000US02538,02538
4186,ZCTA5 02539,86000US02539,02539
8710,ZCTA5 02540,86000US02540,02540
1069,ZCTA5 02542,86000US02542,02542
806,ZCTA5 02543,86000US02543,02543
191,ZCTA5 02553,86000US02553,02553
10154,ZCTA5 02554,86000US02554,02554
3021,ZCTA5 02556,86000US02556,02556
4599,ZCTA5 02557,86000US02557,02557
1538,ZCTA5 02558,86000US02558,02558
4174,ZCTA5 02559,86000US02559,02559
496,ZCTA5 02561,86000US02561,02561
3128,ZCTA5 02562,86000US02562,02562
9972,ZCTA5 02563,86000US02563,02563
249,ZCTA5 02564,86000US02564,02564
4036,ZCTA5 02568,86000US02568,02568
10490,ZCTA5 02571,86000US02571,02571
2727,ZCTA5 02575,86000US02575,02575
5032,ZCTA5 02576,86000US02576,02576
11,ZCTA5 02584,86000US02584,02584
14252,ZCTA5 02601,86000US02601,02601
2265,ZCTA5 02630,86000US02630,02630
9736,ZCTA5 02631,86000US02631,02631
11294,ZCTA5 02632,86000US02632,02632
3846,ZCTA5 02633,86000US02633,02633
3282,ZCTA5 02635,86000US02635,02635
53,ZCTA5 02637,86000US02637,02637
3557,ZCTA5 02638,86000US02638,02638
2698,ZCTA5 02639,86000US02639,02639
222,ZCTA5 02641,86000US02641,02641
4903,ZCTA5 02642,86000US02642,02642
18,ZCTA5 02643,86000US02643,02643
4256,ZCTA5 02644,86000US02644,02644
9668,ZCTA5 02645,86000US02645,02645
1782,ZCTA5 02646,86000US02646,02646
108,ZCTA5 02647,86000US02647,02647
6454,ZCTA5 02648,86000US02648,02648
13988,ZCTA5 02649,86000US02649,02649
1190,ZCTA5 02650,86000US02650,02650
29,ZCTA5 02651,86000US02651,02651
995,ZCTA5 02652,86000US02652,02652
5978,ZCTA5 02653,86000US02653,02653
3616,ZCTA5 02655,86000US02655,02655
2959,ZCTA5 02657,86000US02657,02657
806,ZCTA5 02659,86000US02659,02659
6393,ZCTA5 02660,86000US02660,02660
83,ZCTA5 02663,86000US02663,02663
9342,ZCTA5 02664,86000US02664,02664
743,ZCTA5 02666,86000US02666,02666
2928,ZCTA5 02667,86000US02667,02667
