B01003_001E,NAME,GEOID,metropolitan statistical area/micropolitan statistical area
18962,"Adjuntas, PR Micro Area",31000US10260,10260
325921,"Aguadilla-Isabela, PR Metro Area",31000US10380,10380
193243,"Arecibo, PR Metro Area",31000US11640,11640
40293,"Coamo, PR Micro Area",31000US17620,17620
30114,"Coco, PR Micro Area",31000US17640,17640
81159,"Guayama, PR Metro Area",31000US25020,25020
15890,"Jayuya, PR Micro Area",31000US27580,27580
100263,"Mayagüez, PR Metro Area",31000US32420,32420
330891,"Ponce, PR Metro Area",31000US38660,38660
133534,"San Germán, PR Metro Area",31000US41900,41900
2263582,"San Juan-Carolina-Caguas, PR Metro Area",31000US41980,41980
22913,"Santa Isabel, PR Micro Area",31000US42180,42180
42078,"Aberdeen, SD Micro Area",31000US10100,10100
71419,"Aberdeen, WA Micro Area",31000US10140,10140
167945,"Abilene, TX Metro Area",31000US10180,10180
38055,"Ada, OK Micro Area",31000US10220,10220
98902,"Adrian, MI Micro Area",31000US10300,10300
703744,"Akron, OH Metro Area",31000US10420,10420
65318,"Alamogordo, NM Micro Area",31000US10460,10460
155917,"Albany, GA Metro Area",31000US10500,10500
118971,"Albany, OR Metro Area",31000US10540,10540
877846,"Albany-Schenectady-Troy, NY Metro Area",31000US10580,10580
60586,"Albemarle, NC Micro Area",31000US10620,10620
30897,"Albert Lea, MN Micro Area",31000US10660,10660
94318,"Albertville, AL Micro Area",31000US10700,10700
902731,"Albuquerque, NM Metro Area",31000US10740,10740
154587,"Alexandria, LA Metro Area",31000US10780,10780
36620,"Alexandria, MN Micro Area",31000US10820,10820
41461,"Alice, TX Micro Area",31000US10860,10860
828232,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",31000US10900,10900
41878,"Alma, MI Micro Area",31000US10940,10940
29068,"Alpena, MI Micro Area",31000US10980,10980
126448,"Altoona, PA Metro Area",31000US11020,11020
26056,"Altus, OK Micro Area",31000US11060,11060
259216,"Amarillo, TX Metro Area",31000US11100,11100
36503,"Americus, GA Micro Area",31000US11140,11140
93586,"Ames, IA Metro Area",31000US11180,11180
49779,"Amsterdam, NY Micro Area",31000US11220,11220
395285,"Anchorage, AK Metro Area",31000US11260,11260
16775,"Andrews, TX Micro Area",31000US11380,11380
34267,"Angola, IN Micro Area",31000US11420,11420
354092,"Ann Arbor, MI Metro Area",31000US11460,11460
116648,"Anniston-Oxford-Jacksonville, AL Metro Area",31000US11500,11500
230108,"Appleton, WI Metro Area",31000US11540,11540
34957,"Arcadia, FL Micro Area",31000US11580,11580
48442,"Ardmore, OK Micro Area",31000US11620,11620
22751,"Arkadelphia, AR Micro Area",31000US11660,11660
36079,"Arkansas City-Winfield, KS Micro Area",31000US11680,11680
437252,"Asheville, NC Metro Area",31000US11700,11700
53189,"Ashland, OH Micro Area",31000US11740,11740
99777,"Ashtabula, OH Micro Area",31000US11780,11780
37382,"Astoria, OR Micro Area",31000US11820,11820
16633,"Atchison, KS Micro Area",31000US11860,11860
64974,"Athens, OH Micro Area",31000US11900,11900
52506,"Athens, TN Micro Area",31000US11940,11940
79016,"Athens, TX Micro Area",31000US11980,11980
198225,"Athens-Clarke County, GA Metro Area",31000US12020,12020
5535837,"Atlanta-Sandy Springs-Roswell, GA Metro Area",31000US12060,12060
275376,"Atlantic City-Hammonton, NJ Metro Area",31000US12100,12100
42449,"Auburn, IN Micro Area",31000US12140,12140
79173,"Auburn, NY Micro Area",31000US12180,12180
150982,"Auburn-Opelika, AL Metro Area",31000US12220,12220
580178,"Augusta-Richmond County, GA-SC Metro Area",31000US12260,12260
121112,"Augusta-Waterville, ME Micro Area",31000US12300,12300
39227,"Austin, MN Micro Area",31000US12380,12380
1889094,"Austin-Round Rock, TX Metro Area",31000US12420,12420
27378,"Bainbridge, GA Micro Area",31000US12460,12460
865736,"Bakersfield, CA Metro Area",31000US12540,12540
2769818,"Baltimore-Columbia-Towson, MD Metro Area",31000US12580,12580
153437,"Bangor, ME Metro Area",31000US12620,12620
62992,"Baraboo, WI Micro Area",31000US12660,12660
44564,"Bardstown, KY Micro Area",31000US12680,12680
214766,"Barnstable Town, MA Metro Area",31000US12700,12700
59132,"Barre, VT Micro Area",31000US12740,12740
51760,"Bartlesville, OK Micro Area",31000US12780,12780
27012,"Bastrop, LA Micro Area",31000US12820,12820
59458,"Batavia, NY Micro Area",31000US12860,12860
36952,"Batesville, AR Micro Area",31000US12900,12900
819861,"Baton Rouge, LA Metro Area",31000US12940,12940
134790,"Battle Creek, MI Metro Area",31000US12980,12980
106698,"Bay City, MI Metro Area",31000US13020,13020
36598,"Bay City, TX Micro Area",31000US13060,13060
21818,"Beatrice, NE Micro Area",31000US13100,13100
405695,"Beaumont-Port Arthur, TX Metro Area",31000US13140,13140
88547,"Beaver Dam, WI Micro Area",31000US13180,13180
124027,"Beckley, WV Metro Area",31000US13220,13220
45814,"Bedford, IN Micro Area",31000US13260,13260
32659,"Beeville, TX Micro Area",31000US13300,13300
45484,"Bellefontaine, OH Micro Area",31000US13340,13340
207100,"Bellingham, WA Metro Area",31000US13380,13380
45434,"Bemidji, MN Micro Area",31000US13420,13420
166622,"Bend-Redmond, OR Metro Area",31000US13460,13460
27993,"Bennettsville, SC Micro Area",31000US13500,13500
36589,"Bennington, VT Micro Area",31000US13540,13540
38077,"Berlin, NH-VT Micro Area",31000US13620,13620
43301,"Big Rapids, MI Micro Area",31000US13660,13660
37285,"Big Spring, TX Micro Area",31000US13700,13700
60000,"Big Stone Gap, VA Micro Area",31000US13720,13720
164716,"Billings, MT Metro Area",31000US13740,13740
248292,"Binghamton, NY Metro Area",31000US13780,13780
1138476,"Birmingham-Hoover, AL Metro Area",31000US13820,13820
123407,"Bismarck, ND Metro Area",31000US13900,13900
45407,"Blackfoot, ID Micro Area",31000US13940,13940
180482,"Blacksburg-Christiansburg-Radford, VA Metro Area",31000US13980,13980
189502,"Bloomington, IL Metro Area",31000US14010,14010
163596,"Bloomington, IN Metro Area",31000US14020,14020
85420,"Bloomsburg-Berwick, PA Metro Area",31000US14100,14100
105761,"Bluefield, WV-VA Micro Area",31000US14140,14140
44864,"Blytheville, AR Micro Area",31000US14180,14180
46556,"Bogalusa, LA Micro Area",31000US14220,14220
651402,"Boise City, ID Metro Area",31000US14260,14260
26401,"Boone, IA Micro Area",31000US14340,14340
52240,"Boone, NC Micro Area",31000US14380,14380
21858,"Borger, TX Micro Area",31000US14420,14420
4694565,"Boston-Cambridge-Newton, MA-NH Metro Area",31000US14460,14460
310032,"Boulder, CO Metro Area",31000US14500,14500
164245,"Bowling Green, KY Metro Area",31000US14540,14540
95323,"Bozeman, MT Micro Area",31000US14580,14580
42884,"Bradford, PA Micro Area",31000US14620,14620
91567,"Brainerd, MN Micro Area",31000US14660,14660
